,step,entity,name,id,model,dataset,subset,initial_model,project,exit_condition,metric,seed,dev,test,range_from,range_to
299,2,szegedai-semantics,crimson-meadow-227,dautof2e,distilbert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.787,0.766,1,2
300,3,szegedai-semantics,crimson-meadow-227,dautof2e,distilbert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.781,0.759,2,3
301,4,szegedai-semantics,crimson-meadow-227,dautof2e,distilbert-base-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.78,0.767,1,2
302,0,szegedai-semantics,drawn-dew-226,e353w2ie,distilbert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.826,0.815,5,6
303,1,szegedai-semantics,drawn-dew-226,e353w2ie,distilbert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.889,0.87,1,2
304,2,szegedai-semantics,drawn-dew-226,e353w2ie,distilbert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.836,0.83,2,3
305,3,szegedai-semantics,drawn-dew-226,e353w2ie,distilbert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.862,0.849,2,3
306,4,szegedai-semantics,drawn-dew-226,e353w2ie,distilbert-base-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,2,0.562,0.54,1,2
307,0,szegedai-semantics,fluent-rain-225,jr2rb1hr,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,2,0.598,0.524,9,10
308,1,szegedai-semantics,fluent-rain-225,jr2rb1hr,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,2,0.592,0.559,9,10
309,2,szegedai-semantics,fluent-rain-225,jr2rb1hr,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,2,0.597,0.488,8,9
310,3,szegedai-semantics,fluent-rain-225,jr2rb1hr,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,2,0.56,0.493,8,9
311,4,szegedai-semantics,fluent-rain-225,jr2rb1hr,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,2,0.533,0.456,4,5
312,5,szegedai-semantics,fluent-rain-225,jr2rb1hr,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,2,0.499,0.441,0,1
313,6,szegedai-semantics,fluent-rain-225,jr2rb1hr,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,2,0.447,0.424,0,1
314,7,szegedai-semantics,fluent-rain-225,jr2rb1hr,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,2,0.339,0.337,4,5
315,8,szegedai-semantics,fluent-rain-225,jr2rb1hr,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,2,0.246,0.185,3,4
316,9,szegedai-semantics,fluent-rain-225,jr2rb1hr,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,2,0.181,0.077,0,1
317,10,szegedai-semantics,fluent-rain-225,jr2rb1hr,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,2,0.098,0.041,0,1
318,0,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.683,0.608,21,22
319,1,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.677,0.633,1,2
320,2,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.671,0.637,3,4
321,3,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.682,0.593,15,16
322,4,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.675,0.588,11,12
323,5,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.685,0.574,2,3
324,6,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.695,0.564,15,16
325,7,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.678,0.588,16,17
326,8,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.665,0.529,15,16
327,9,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.665,0.589,13,14
328,10,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.7,0.569,2,3
329,11,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.661,0.539,4,5
330,12,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.608,0.565,2,3
331,13,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.567,0.503,9,10
332,14,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.529,0.427,8,9
333,15,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.449,0.413,0,1
334,16,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.414,0.376,0,1
335,17,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.345,0.355,6,7
336,18,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.287,0.252,3,4
337,19,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.163,0.196,0,1
338,20,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.145,0.067,0,1
339,21,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.109,0.12,2,3
340,22,szegedai-semantics,vital-violet-224,7p15lmv9,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.076,0.078,1,2
341,0,szegedai-semantics,chocolate-pyramid-223,6eygwf2h,distilbert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.529,0.485,5,6
342,1,szegedai-semantics,chocolate-pyramid-223,6eygwf2h,distilbert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.454,0.349,1,2
343,2,szegedai-semantics,chocolate-pyramid-223,6eygwf2h,distilbert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.269,0.231,1,2
344,3,szegedai-semantics,chocolate-pyramid-223,6eygwf2h,distilbert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.104,0.133,2,3
345,4,szegedai-semantics,chocolate-pyramid-223,6eygwf2h,distilbert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.068,0.068,0,1
346,0,szegedai-semantics,zany-eon-222,kl42yhv1,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.639,0.58,10,11
347,1,szegedai-semantics,zany-eon-222,kl42yhv1,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.659,0.589,6,7
348,2,szegedai-semantics,zany-eon-222,kl42yhv1,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.651,0.549,3,4
349,3,szegedai-semantics,zany-eon-222,kl42yhv1,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.598,0.559,4,5
350,4,szegedai-semantics,zany-eon-222,kl42yhv1,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.571,0.488,4,5
351,5,szegedai-semantics,zany-eon-222,kl42yhv1,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.571,0.493,5,6
352,6,szegedai-semantics,zany-eon-222,kl42yhv1,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.512,0.473,5,6
353,7,szegedai-semantics,zany-eon-222,kl42yhv1,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.379,0.35,4,5
354,8,szegedai-semantics,zany-eon-222,kl42yhv1,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.275,0.251,3,4
355,9,szegedai-semantics,zany-eon-222,kl42yhv1,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.08,0.077,1,2
356,10,szegedai-semantics,zany-eon-222,kl42yhv1,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.028,-0.043,0,1
357,0,szegedai-semantics,playful-fire-221,u2i08yfq,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.603,0.559,10,11
358,1,szegedai-semantics,playful-fire-221,u2i08yfq,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.615,0.559,10,11
359,2,szegedai-semantics,playful-fire-221,u2i08yfq,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.643,0.554,9,10
360,3,szegedai-semantics,playful-fire-221,u2i08yfq,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.611,0.51,1,2
361,4,szegedai-semantics,playful-fire-221,u2i08yfq,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.567,0.454,5,6
362,5,szegedai-semantics,playful-fire-221,u2i08yfq,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.495,0.384,6,7
363,6,szegedai-semantics,playful-fire-221,u2i08yfq,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.398,0.378,0,1
364,7,szegedai-semantics,playful-fire-221,u2i08yfq,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.342,0.275,2,3
365,8,szegedai-semantics,playful-fire-221,u2i08yfq,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.236,0.227,3,4
366,9,szegedai-semantics,playful-fire-221,u2i08yfq,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.122,0.05,0,1
367,10,szegedai-semantics,playful-fire-221,u2i08yfq,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,1,0.039,0.002,0,1
368,0,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.829,0.81,8,9
369,1,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.739,0.733,9,10
370,2,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.85,0.834,19,20
371,3,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.829,0.81,7,8
372,4,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.851,0.836,7,8
373,5,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.838,0.821,3,4
374,6,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.858,0.843,5,6
375,7,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.868,0.851,10,11
376,8,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.853,0.833,14,15
377,9,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.843,0.82,5,6
378,10,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.849,0.83,11,12
379,11,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.85,0.831,6,7
380,12,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.831,0.814,5,6
381,13,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.83,0.809,6,7
382,14,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.831,0.813,4,5
383,15,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.837,0.813,5,6
384,16,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.834,0.813,5,6
385,17,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.814,0.792,5,6
386,18,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.785,0.763,4,5
387,19,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.803,0.783,4,5
388,20,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.83,0.811,3,4
389,21,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.837,0.813,2,3
390,22,szegedai-semantics,decent-elevator-220,nfqz7ghl,bert-large-uncased,conll2003,pos,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.772,0.755,0,1
391,0,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.687,0.584,5,6
392,1,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.661,0.598,3,4
393,2,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.67,0.642,19,20
394,3,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.695,0.609,20,21
395,4,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.691,0.581,17,18
396,5,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.672,0.579,16,17
397,6,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.667,0.608,1,2
398,7,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.655,0.559,12,13
399,8,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.656,0.589,15,16
400,9,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.649,0.579,4,5
401,10,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.62,0.579,13,14
402,11,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.599,0.559,12,13
403,12,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.579,0.529,8,9
404,13,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.518,0.421,10,11
405,14,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.484,0.442,2,3
406,15,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.478,0.376,3,4
407,16,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.414,0.356,1,2
408,17,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.417,0.362,0,1
409,18,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.275,0.209,3,4
410,19,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.199,0.166,4,5
411,20,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.158,0.145,1,2
412,21,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.152,0.138,2,3
413,22,szegedai-semantics,eager-butterfly-219,wktvbvyx,bert-large-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.126,0.058,1,2
414,0,szegedai-semantics,pious-tree-218,ju3r0vgt,distilbert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.542,0.48,5,6
415,1,szegedai-semantics,pious-tree-218,ju3r0vgt,distilbert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.442,0.362,2,3
416,2,szegedai-semantics,pious-tree-218,ju3r0vgt,distilbert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.284,0.24,1,2
417,3,szegedai-semantics,pious-tree-218,ju3r0vgt,distilbert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.113,0.094,2,3
418,4,szegedai-semantics,pious-tree-218,ju3r0vgt,distilbert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.068,0.024,0,1
419,0,szegedai-semantics,silver-pyramid-217,dolhuhqd,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.651,0.539,5,6
420,1,szegedai-semantics,silver-pyramid-217,dolhuhqd,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.645,0.55,5,6
421,2,szegedai-semantics,silver-pyramid-217,dolhuhqd,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.651,0.509,8,9
422,3,szegedai-semantics,silver-pyramid-217,dolhuhqd,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.639,0.503,7,8
423,4,szegedai-semantics,silver-pyramid-217,dolhuhqd,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.592,0.488,6,7
424,5,szegedai-semantics,silver-pyramid-217,dolhuhqd,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.528,0.508,6,7
425,6,szegedai-semantics,silver-pyramid-217,dolhuhqd,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.482,0.446,3,4
426,7,szegedai-semantics,silver-pyramid-217,dolhuhqd,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.4,0.272,3,4
427,8,szegedai-semantics,silver-pyramid-217,dolhuhqd,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.273,0.263,3,4
428,9,szegedai-semantics,silver-pyramid-217,dolhuhqd,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.086,-0.003,1,2
429,10,szegedai-semantics,silver-pyramid-217,dolhuhqd,roberta-base,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.028,-0.03,0,1
430,0,szegedai-semantics,cosmic-glitter-216,d52sb8c5,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.618,0.534,9,10
431,1,szegedai-semantics,cosmic-glitter-216,d52sb8c5,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.606,0.559,9,10
432,2,szegedai-semantics,cosmic-glitter-216,d52sb8c5,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.59,0.514,9,10
433,3,szegedai-semantics,cosmic-glitter-216,d52sb8c5,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.611,0.519,1,2
434,4,szegedai-semantics,cosmic-glitter-216,d52sb8c5,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.571,0.508,3,4
435,5,szegedai-semantics,cosmic-glitter-216,d52sb8c5,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.489,0.441,1,2
436,6,szegedai-semantics,cosmic-glitter-216,d52sb8c5,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.38,0.381,2,3
437,7,szegedai-semantics,cosmic-glitter-216,d52sb8c5,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.342,0.302,0,1
438,8,szegedai-semantics,cosmic-glitter-216,d52sb8c5,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.235,0.17,1,2
439,9,szegedai-semantics,cosmic-glitter-216,d52sb8c5,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.154,0.063,2,3
440,10,szegedai-semantics,cosmic-glitter-216,d52sb8c5,bert-base-uncased,glue,cola,pre-trained,greedy-layer-pruning,pre-trained,matthews_correlation,0,0.0,0.0,1,2
441,0,szegedai-semantics,feasible-serenity-201,c2plet9m,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.841,0.83,3,4
442,1,szegedai-semantics,feasible-serenity-201,c2plet9m,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.779,0.764,2,3
443,2,szegedai-semantics,feasible-serenity-201,c2plet9m,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.795,0.779,13,14
444,3,szegedai-semantics,feasible-serenity-201,c2plet9m,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.801,0.787,4,5
445,4,szegedai-semantics,feasible-serenity-201,c2plet9m,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.81,0.801,6,7
446,5,szegedai-semantics,feasible-serenity-201,c2plet9m,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.848,0.832,5,6
447,6,szegedai-semantics,feasible-serenity-201,c2plet9m,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.863,0.847,2,3
448,7,szegedai-semantics,feasible-serenity-201,c2plet9m,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.868,0.856,4,5
449,8,szegedai-semantics,feasible-serenity-201,c2plet9m,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.882,0.865,5,6
450,9,szegedai-semantics,feasible-serenity-201,c2plet9m,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.906,0.884,4,5
451,10,szegedai-semantics,feasible-serenity-201,c2plet9m,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.909,0.888,10,11
452,11,szegedai-semantics,feasible-serenity-201,c2plet9m,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.91,0.89,9,10
453,12,szegedai-semantics,feasible-serenity-201,c2plet9m,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.909,0.878,4,5
454,13,szegedai-semantics,feasible-serenity-201,c2plet9m,bert-large-uncased,conll2003,ner,pre-trained,greedy-layer-pruning,pre-trained,f1,1,0.904,0.88,10,11
